0.00142045 130.505 130.495 0.00985216
0.00312792 6.65572 6.63908 0.0166418
0.00488988 0.419302 0.402903 0.0163992
0.00668375 0.0969282 0.0805668 0.0163614
0.00851764 0.102989 0.0866519 0.0163366
0.0103935 0.115918 0.0995991 0.0163186
0.0123061 0.104377 0.0880708 0.0163061
0.0142647 0.135327 0.11903 0.0162977
0.0162636 0.130968 0.114683 0.0162851
0.0182961 0.121734 0.105465 0.0162691
0.0203635 0.138075 0.12182 0.0162552
0.022458 0.14325 0.127004 0.0162462
0.0245804 0.132184 0.115943 0.0162413
0.0267316 0.138711 0.12247 0.0162407
0.0289025 0.146611 0.130369 0.0162421
0.0310937 0.15388 0.137638 0.0162416
0.0332951 0.154796 0.138555 0.0162402
0.0355175 0.167377 0.151137 0.0162392
0.0377506 0.175913 0.159674 0.0162389
0.0399946 0.182273 0.166033 0.0162399
0.0422495 0.191823 0.17558 0.0162427
0.0445044 0.199338 0.183091 0.0162468
0.0467706 0.201091 0.184839 0.0162515
0.0490367 0.214401 0.198143 0.0162576
0.0513029 0.220848 0.204583 0.0162644
0.053569 0.212413 0.196143 0.0162698
0.0558352 0.230346 0.214068 0.0162776
0.0580898 0.241962 0.225677 0.0162853
0.0603444 0.213021 0.196732 0.0162886
0.0625991 0.260907 0.244611 0.0162962
0.0648422 0.247223 0.230923 0.0162998
0.0670852 0.249712 0.233409 0.0163029
0.0693168 0.258811 0.242506 0.0163049
0.0715483 0.261515 0.24521 0.0163057
0.0737798 0.268241 0.251935 0.0163052
0.0760113 0.276998 0.260693 0.0163042
0.0782428 0.267993 0.251692 0.0163008
0.0804744 0.295683 0.279382 0.0163012
0.0827059 0.28131 0.265013 0.016297
0.0849374 0.294272 0.277978 0.0162936
0.0871689 0.281699 0.265412 0.0162878
0.0894004 0.298949 0.282665 0.0162833
0.091632 0.29466 0.278382 0.0162779
0.0938635 0.311375 0.295102 0.0162738
0.096095 0.300648 0.28438 0.0162679
0.0983265 0.306593 0.290331 0.0162624
0.100558 0.298691 0.282436 0.0162555
0.10279 0.318991 0.30274 0.0162507
0.105021 0.315259 0.299013 0.0162454
0.10724 0.303998 0.287759 0.0162387
0.109459 0.306133 0.2899 0.0162325
0.111678 0.327322 0.311093 0.0162287
0.113897 0.317472 0.301248 0.0162238
0.116116 0.307763 0.291545 0.0162181
0.118335 0.319919 0.303705 0.016214
0.120554 0.317063 0.300853 0.0162097
0.122773 0.315818 0.299613 0.0162056
0.124992 0.316545 0.300344 0.0162017
0.127211 0.319421 0.303223 0.0161985
0.12943 0.315721 0.299526 0.0161951
0.131649 0.313708 0.297516 0.0161918
0.133868 0.310716 0.294528 0.0161884
0.136087 0.314828 0.298643 0.0161859
0.138306 0.310853 0.294669 0.0161832
0.140525 0.311705 0.295524 0.0161809
0.142744 0.314945 0.298766 0.0161794
0.144963 0.30315 0.286973 0.0161767
0.147182 0.312695 0.296519 0.0161755
0.149401 0.310767 0.294593 0.0161744
0.15162 0.301004 0.284832 0.0161723
0.153839 0.304221 0.28805 0.0161709
0.156058 0.300137 0.283967 0.0161693
0.158277 0.30376 0.287591 0.0161683
0.160496 0.302832 0.286664 0.0161674
0.162715 0.290303 0.274138 0.0161652
0.164934 0.300253 0.284089 0.0161644
0.167153 0.290671 0.274509 0.0161625
0.169372 0.300699 0.284537 0.0161622
0.171591 0.289625 0.273466 0.016159
0.17381 0.287589 0.271432 0.0161575
0.176029 0.285798 0.269642 0.0161559
0.178248 0.291032 0.274877 0.0161551
0.180466 0.280149 0.263996 0.0161531
0.182685 0.283234 0.267082 0.0161517
0.18492 0.280415 0.264265 0.0161502
0.187155 0.285692 0.269543 0.0161491
0.189389 0.276715 0.260568 0.0161473
0.191624 0.266997 0.250853 0.0161441
0.193859 0.284264 0.26812 0.0161432
0.196093 0.269664 0.253523 0.0161405
0.198328 0.271549 0.25541 0.0161381
0.200562 0.276731 0.260594 0.0161364
0.202797 0.261604 0.245472 0.0161328
0.205032 0.270607 0.254477 0.0161304
0.207266 0.268011 0.251883 0.0161276
0.209501 0.26435 0.248226 0.0161245
0.211735 0.262971 0.24685 0.0161213
0.21397 0.26536 0.249241 0.0161183
0.216205 0.251259 0.235146 0.0161137
0.218439 0.265642 0.249532 0.0161107
0.220674 0.253566 0.237459 0.0161063
0.222908 0.265415 0.249312 0.0161034
0.225143 0.255873 0.239774 0.0160994
0.227378 0.251001 0.234906 0.0160948
0.229612 0.251179 0.235088 0.0160902
0.231847 0.256746 0.24066 0.0160863
0.234081 0.249106 0.233025 0.0160815
0.236316 0.255067 0.23899 0.0160774
0.238551 0.251815 0.235742 0.0160729
0.240785 0.242209 0.226141 0.0160673
0.24302 0.252308 0.236245 0.0160628
0.245255 0.247041 0.230983 0.0160578
0.247489 0.24538 0.229327 0.0160526
0.249724 0.242686 0.226639 0.0160471
0.251958 0.24718 0.231138 0.0160421
0.254193 0.241113 0.225077 0.0160363
0.256428 0.246853 0.230822 0.0160313
0.258662 0.241115 0.225089 0.0160256
0.260897 0.24606 0.230039 0.0160205
0.263131 0.231063 0.21505 0.0160137
0.265366 0.243578 0.227569 0.0160083
0.267601 0.237776 0.221774 0.0160022
0.269835 0.242562 0.226565 0.0159968
0.27207 0.237122 0.221131 0.0159907
0.274304 0.240181 0.224196 0.0159851
0.276539 0.231068 0.215089 0.0159783
0.278774 0.236779 0.220807 0.0159723
0.281008 0.233583 0.217617 0.0159659
0.283243 0.236147 0.220188 0.0159598
0.285478 0.233718 0.217765 0.0159535
0.287712 0.238918 0.22297 0.0159478
0.289947 0.229494 0.213553 0.015941
0.292181 0.233785 0.217851 0.0159347
0.294416 0.228318 0.212391 0.0159279
0.296651 0.23631 0.220388 0.015922
0.298885 0.229695 0.213779 0.0159153
0.30112 0.232521 0.216612 0.0159091
0.303354 0.225756 0.209854 0.0159019
0.305589 0.232506 0.216611 0.0158957
0.307824 0.227203 0.211314 0.0158889
0.310058 0.229614 0.213731 0.0158823
0.312293 0.229858 0.213982 0.0158759
0.314527 0.230075 0.214206 0.0158695
0.316762 0.221978 0.206115 0.0158621
0.318997 0.230233 0.214377 0.0158557
0.321231 0.22124 0.205392 0.0158484
